epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,307.432,1.61533,2.11092,1.10362,1.3117,0,0.70249,0.7193,0.75549,0.29811,0.77386,0.73684,0.80983,0.27619,2.00459,2.72825,1.17836,1.90211,0,0.0005942,0.0005942,0.0005942
73,311.557,1.53874,2.15115,1.08593,1.37154,0,0.71873,0.76218,0.77526,0.31092,0.73454,0.77679,0.78639,0.31242,1.96511,2.60912,1.13014,1.85376,0,0.0005744,0.0005744,0.0005744
74,315.681,1.56053,2.1518,1.11029,1.35673,0,0.71106,0.70175,0.74227,0.30756,0.76252,0.7193,0.80541,0.27676,2.01475,2.72373,1.13893,1.87216,0,0.0005546,0.0005546,0.0005546
75,319.83,1.54343,2.17145,1.02851,1.32556,0,0.78316,0.7193,0.78406,0.329,0.83312,0.7007,0.79941,0.28656,2.02555,2.78493,1.17642,1.94564,0,0.0005348,0.0005348,0.0005348
76,324.014,1.62242,2.11837,0.97951,1.37443,0,0.71434,0.75439,0.75425,0.27452,0.70338,0.73684,0.75512,0.25145,2.10885,2.82365,1.23682,2.04267,0,0.000515,0.000515,0.000515
77,328.198,1.53262,2.15936,1.03532,1.36741,0,0.68998,0.70175,0.74357,0.32327,0.73736,0.77193,0.80566,0.28573,1.97067,2.78112,1.0921,1.93025,0,0.0004952,0.0004952,0.0004952
78,332.385,1.59189,2.1073,1.02532,1.30032,0,0.81202,0.7193,0.80392,0.32875,0.83925,0.77193,0.84466,0.28579,1.93117,2.79556,1.05207,1.96107,0,0.0004754,0.0004754,0.0004754
79,336.6,1.60675,2.13993,1.00979,1.38009,0,0.67787,0.84918,0.78976,0.30985,0.77018,0.70558,0.78385,0.26654,2.03651,2.87424,1.13117,1.90036,0,0.0004556,0.0004556,0.0004556
80,340.822,1.51372,2.06198,1.01841,1.31973,0,0.80326,0.71632,0.79422,0.31428,0.8228,0.73323,0.80495,0.28621,1.98772,2.71578,1.1422,1.90333,0,0.0004358,0.0004358,0.0004358
81,345.018,1.50379,1.97973,0.97459,1.29503,0,0.80001,0.75439,0.8218,0.33482,0.80001,0.75439,0.82497,0.30049,1.8368,2.62157,1.06166,1.78151,0,0.000416,0.000416,0.000416
