frame_idx,file_name,frame,area_px,centroid_y,centroid_x,mean_intensity,max_intensity
167,ch20_URA7_URA8_002-crop1.tif,17,68,37.6912,85.5588,0.0024,0.0030
168,ch20_URA7_URA8_002-crop1.tif,18,122,29.1230,98.9262,0.0024,0.0028
169,ch20_URA7_URA8_002-crop1.tif,19,97,26.0412,104.1031,0.0024,0.0031
170,ch20_URA7_URA8_002-crop1.tif,20,69,49.5652,83.5072,0.0024,0.0027
171,ch20_URA7_URA8_002-crop1.tif,21,64,42.7812,88.4375,0.0024,0.0026
172,ch20_URA7_URA8_002-crop1.tif,22,53,52.9811,77.1509,0.0024,0.0025
173,ch20_URA7_URA8_002-crop1.tif,23,77,58.2078,70.3117,0.0024,0.0027
174,ch20_URA7_URA8_002-crop1.tif,24,103,57.9417,69.3883,0.0024,0.0027
175,ch20_URA7_URA8_002-crop1.tif,25,127,67.0945,61.0079,0.0024,0.0028
176,ch20_URA7_URA8_002-crop1.tif,26,122,57.2377,71.5000,0.0024,0.0029
177,ch20_URA7_URA8_002-crop1.tif,27,136,52.7500,77.5221,0.0024,0.0030
178,ch20_URA7_URA8_002-crop1.tif,28,144,48.7222,81.2778,0.0025,0.0032
179,ch20_URA7_URA8_002-crop1.tif,29,140,48.4571,80.2357,0.0025,0.0032
180,ch20_URA7_URA8_002-crop1.tif,30,115,54.6261,73.9565,0.0024,0.0029
181,ch20_URA7_URA8_002-crop1.tif,31,118,68.6271,55.8051,0.0025,0.0029
182,ch20_URA7_URA8_002-crop1.tif,32,124,69.3952,57.1371,0.0024,0.0032
183,ch20_URA7_URA8_002-crop1.tif,33,119,68.8992,58.3866,0.0025,0.0033
184,ch20_URA7_URA8_002-crop1.tif,34,105,67.8667,59.9619,0.0025,0.0031
185,ch20_URA7_URA8_002-crop1.tif,35,142,66.7958,60.3099,0.0025,0.0030
186,ch20_URA7_URA8_002-crop1.tif,36,138,68.2391,58.8261,0.0025,0.0031
187,ch20_URA7_URA8_002-crop1.tif,37,140,70.8786,59.7143,0.0024,0.0032
188,ch20_URA7_URA8_002-crop1.tif,38,130,68.8692,64.3308,0.0024,0.0028
189,ch20_URA7_URA8_002-crop1.tif,39,133,70.4436,61.0752,0.0024,0.0034
190,ch20_URA7_URA8_002-crop1.tif,40,135,69.6148,58.5556,0.0024,0.0028
191,ch20_URA7_URA8_002-crop1.tif,41,141,68.7376,58.2837,0.0024,0.0026
192,ch20_URA7_URA8_002-crop1.tif,42,79,72.4684,58.8608,0.0024,0.0034
193,ch20_URA7_URA8_002-crop1.tif,43,115,68.6696,59.1913,0.0024,0.0030
194,ch20_URA7_URA8_002-crop1.tif,44,133,67.9850,59.6090,0.0024,0.0029
195,ch20_URA7_URA8_002-crop1.tif,45,134,67.6791,61.4478,0.0024,0.0029
196,ch20_URA7_URA8_002-crop1.tif,46,136,67.9706,59.8750,0.0024,0.0031
197,ch20_URA7_URA8_002-crop1.tif,47,127,69.1969,63.7165,0.0024,0.0031
198,ch20_URA7_URA8_002-crop1.tif,48,113,74.0708,57.4071,0.0024,0.0030
199,ch20_URA7_URA8_002-crop1.tif,49,143,69.3427,59.6573,0.0023,0.0029
